bookID,title,authors,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,average_rating
79,Coming Into the Country,John McPhee,0374522871,9780374522872,eng,448,5704,261,1991-04-01,Farrar  Straus and Giroux,4.22
80,La Place de la Concorde Suisse,John McPhee,0374519323,9780374519322,fre,160,698,52,1994-04-01,Farrar  Straus and Giroux,3.92
81,Giving Good Weight,John McPhee,0374516006,9780374516000,eng,288,542,36,1994-04-01,Farrar  Straus and Giroux,4.23
83,Rising from the Plains,John McPhee,0374520658,9780374520656,eng,208,1341,98,1987-11-01,Farrar  Straus and Giroux,4.23
85,The Heidi Chronicles,Wendy Wasserstein,0822205106,9780822205104,eng,81,1423,70,2002-03-01,Dramatists Play Service,3.75
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,0679734996,9780679734994,eng,249,2766,64,1991-07-02,Vintage,3.84
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,1596670231,9781596670235,eng,138,31,1,2006-03-29,Routledge,3.94
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,1581807740,9781581807745,en-US,128,62,4,2006-03-14,North Light Books,3.77
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,0800793617,9780800793616,eng,192,860,53,2003-09-01,Chosen Books,4.46
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,0871202867,9780871202864,en-US,108,77,2,1997-01-28,Association for Supervision & Curriculum Development,3.68
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,0753454947,9780753454947,eng,352,153317,2257,2002-11-15,Kingfisher,3.99
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,0871209993,9780871209993,eng,192,55,5,2004-11-15,ASCD,3.25
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,1852402873,9781852402877,eng,192,34,6,2003-04-28,Sovereign World,4.46
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,0761129588,9780761129585,eng,832,11797,659,2003-10-16,Workman Publishing Company,3.89
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,0972016414,9780972016414,eng,123,34,8,2004-05-10,One Hour Entertainment,3.82
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,1581805632,9781581805635,en-US,128,78,4,2004-08-19,North Light Books,3.78
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,0441294677,9780441294671,eng,423,2785,166,1987-06-15,Ace Books,3.84
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,0441102670,9780441102679,eng,436,38778,568,1987-07-01,Ace Books,3.91
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,0441172695,9780441172696,eng,331,97494,2359,1987-07-15,Ace Books,3.88
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,0765306476,9780765306470,en-US,592,784,21,2004-07-01,Tor Books,4.01
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,0399128980,9780399128981,eng,480,272,20,1984-04-16,Putnam,3.86
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,0765353709,9780765353702,eng,426,4789,83,2006-08-29,Tor Science Fiction,3.88
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,0441328008,9780441328000,eng,471,45388,644,1987-08-15,Ace Books,3.86
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,0618212906,9780618212903,eng,192,26153,102,2002-06-12,Houghton Mifflin Harcourt,4.59
122,The Power of One (The Power of One  #1),Bryce Courtenay,034541005X,9780345410054,eng,544,69167,4551,1996-09-29,Ballantine Books,4.35
123,The Power of One (The Power of One  #1),Bryce Courtenay,0385732546,9780385732543,eng,291,45,13,2005-09-13,Delacorte Books for Young Readers,4.35
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,0785260056,9780785260059,en-US,256,16,1,2004-11-01,Thomas Nelson,4.28
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,0471780936,9780471780939,eng,205,174,16,2006-05-19,Wiley,3.34
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,0325001537,9780325001531,eng,240,10,0,2000-02-07,Heinemann Drama,3.67
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,006076287X,9780060762872,eng,336,76,9,2005-05-03,William Morrow Paperbacks,3.48
133,eBay for Dummies,Marsha Collier,0470045299,9780470045299,eng,386,111,9,2006-10-30,Wiley,3.5
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,0072262788,9780072262780,eng,260,24,0,2006-01-24,McGraw-Hill,3.62
137,Starting an eBay Business for Dummies,Marsha Collier,0764569244,9780764569241,eng,384,55,4,2004-09-17,Wiley,3.55
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,0471933821,9780471933823,eng,260,9,0,2006-06-06,Wiley,4.27
139,ebay Timesaving Techniques for Dummies,Marsha Collier,0764559915,9780764559914,en-US,391,22,1,2004-05-31,Wiley,3.39
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,0764584383,9780764584381,en-US,864,17,3,2005-04-25,Wiley,3.89
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,0596523696,9780596523695,eng,873,166,4,2006-07-29,O'Reilly Media,3.84
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,0806523492,9780806523491,eng,240,50,5,2005-05-03,Citadel,4.12
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,0806525363,9780806525365,eng,206,13,2,2005-05-03,Citadel,4.08
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,0596527314,9780596527310,eng,514,64,1,2007-01-01,O'Reilly Media,3.48
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,0143035002,9780143035008,eng,838,16643,1851,2004-05-31,Penguin Classics,4.05
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,0451528611,9780451528612,eng,960,109420,5696,2002-11-05,Signet,4.05
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,0140449175,9780140449174,eng,837,2904,309,2003-01-30,Penguin Books,4.05
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,0822001837,9780822001836,eng,80,16,3,1965-11-26,Cliffs Notes,3.85
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,1593080271,9781593080273,eng,803,9564,726,2003-07-01,Barnes & Noble Classics,4.05
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,0486437965,9780486437965,eng,752,474,72,2004-11-23,Dover Publications,4.05
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,1593081774,9781593081775,eng,803,303,48,2004-08-26,Barnes & Noble,4.05
159,Dinner with Anna Karenina,Gloria Goldreich,0778322270,9780778322276,eng,360,411,65,2006-01-28,Mira Books,2.99
160,Tolstoy: Anna Karenina,Anthony Thorlby,0521313252,9780521313254,eng,128,1204,33,1987-11-26,Cambridge University Press,4.19
162,Untouchable,Mulk Raj Anand/E.M. Forster,0140183957,9780140183955,eng,160,3429,279,1990-07-03,Penguin Books,3.71
163,The Untouchable,John Banville,0679767479,9780679767473,eng,367,2163,216,1998-06-30,Vintage,3.95
164,The Untouchables,Eliot Ness/Oscar Fraley,1568491980,9781568491981,eng,256,613,31,1996-02-01,Buccaneer Books,3.89
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,0743270797,9780743270793,en-US,320,308,40,2005-09-27,Scribner,3.82
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,0932863051,9780932863058,eng,100,10,0,1995-01-28,Clarity Press,4.2
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,0742508803,9780742508804,eng,224,16,4,2000-12-20,Rowman & Littlefield Publishers,3.65
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,0205358624,9780205358625,eng,216,10,0,2003-09-22,Pearson,3.4
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,1557344035,9781557344038,eng,48,17,0,1991-09-28,Teacher Created Resources,4.0
180,Wrinkles in Time,George Smoot/Keay Davidson,0380720442,9780380720446,eng,360,1035,23,1994-10-01,Harper Perennial,4.01
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,0821925326,9780821925324,eng,250,36,6,2002-05-01,EMC/Paradigm Publishing,4.0
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,043927169X,9780439271691,eng,32,15,0,2002-01-01,Teaching Resources,3.6
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,0606105263,9780606105262,spa,205,6,1,1984-06-01,Turtleback Books,4.0
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,0751506435,9780751506433,eng,367,376,17,1994-06-01,Little  Brown Book Group,4.12
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,006078671X,9780060786717,eng,352,3086,237,2006-01-03,William Morrow,4.11
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,0743499344,9780743499347,en-US,320,352,44,2005-11-01,Atria Books,3.94
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,0765313405,9780765313409,eng,331,9852,633,2006-03-07,Tor Books,3.6
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,1400032490,9781400032495,eng,244,821,78,2004-08-10,Vintage Crime/Black Lizard,3.9
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,1400032482,9781400032488,eng,215,731,72,2005-03-08,Vintage Crime/Black Lizard,4.05
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,1400032466,9781400032464,eng,191,2897,178,2004-08-10,Vintage Crime/Black Lizard,3.94
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,0679732527,9780679732525,eng,144,98,11,1990-10-03,Vintage,3.89
231,I am Charlotte Simmons,Tom Wolfe,0312424442,9780312424442,eng,738,20888,1688,2005-08-30,Picador USA,3.42
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,0806930772,9780806930770,eng,48,66,19,2001-10-01,Sterling,3.91
244,The Puffin Book of Nonsense Verse,Quentin Blake,0140366601,9780140366600,eng,287,81,6,1996-10-03,Puffin,4.02
245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,0811201120,9780811201124,eng,217,981,52,1964-02-01,New Directions Publishing,4.22
247,Quiet Days in Clichy,Henry Miller,080213016X,9780802130167,eng,154,3381,141,1994-01-13,Grove Press,3.69
249,Tropic of Cancer,Henry Miller/Jiří Níl,0802131786,9780802131782,eng,318,53206,2376,1994-01-06,Grove Press,3.68
250,Tropic of Capricorn,Henry Miller,0802151825,9780802151827,eng,348,14872,459,1994-01-13,Grove Press,3.78
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,0802151787,9780802151780,eng,316,3261,58,1994-01-13,Grove Press,4.1
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,0802151809,9780802151803,eng,506,7805,251,1994-01-12,Grove Press,3.98
253,The Air-Conditioned Nightmare,Henry Miller,0811201066,9780811201063,eng,292,2699,142,1970-01-17,New Directions,3.83
264,The Portrait of a Lady,Henry James/Patricia Crick,0141439637,9780141439631,eng,797,61640,1951,2003-09-30,Penguin Classics,3.78
269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,1593080964,9781593080969,eng,635,392,41,2004-01-16,Barnes  Noble Classics,3.78
277,Writing,Marguerite Duras,1571290532,9781571290533,eng,91,778,44,1999-05-06,Brookline Books,3.75
278,The War,Marguerite Duras/Barbara Bray,1565842219,9781565842212,eng,192,963,65,1994-08-01,The New Press,3.85
280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,0394743040,9780394743042,en-US,181,2057,128,1986-03-12,Pantheon,3.66
285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,1851681825,9781851681822,eng,178,203,8,1999-07-01,One World (UK),3.68
288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,156656249X,9781566562492,eng,464,35,2,1998-04-01,Interlink Publishing Group,4.21
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,014019553X,9780140195538,eng,102,328,16,1998-01-01,Penguin Books,4.19
290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,0394431243,9780394431246,eng,216,1308,82,1995-02-21,Knopf,3.98
291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,0806501901,9780806501901,eng,132,6432,517,2003-03-03,Citadel,3.92
292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,067943920X,9780679439202,eng,100,3015,217,2011-06-14,Knopf,4.08
295,Treasure Island,Robert Louis Stevenson,0753453800,9780753453803,eng,311,318753,6734,2001-09-15,Kingfisher,3.83
296,Treasure Island,Robert Louis Stevenson/Scott McKowen,1402714572,9781402714573,en-US,213,420,42,2004-10-01,Sterling Children's Books,3.83
297,Treasure Island,Robert Louis Stevenson,1416500294,9781416500292,eng,245,5967,276,2005-06-01,Simon & Schuster,3.83
298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,0689854684,9780689854682,eng,64,104,14,2003-07-01,Atheneum Books for Young Readers,3.83
299,Treasure Island,Robert Louis Stevenson/Milo Winter,0517221144,9780517221143,en-US,272,56,4,2002-09-03,Gramercy Books,3.83
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,1577658051,9781577658054,eng,232,91,16,2006-01-31,Abdo Publishing Company,4.05
313,100 Years of Lynchings,Ralph Ginzburg,0933121180,9780933121188,eng,270,88,4,1996-11-22,Black Classic Press,4.61
324,Cien años de soledad,Gabriel García Márquez,0785950109,9780785950103,spa,448,63,7,1990-01-01,French & European,4.07
330,On Beyond Zebra!,Dr. Seuss,0394800842,9780394800844,eng,64,2815,164,1955-09-12,Random House Books for Young Readers,4.04
332,The Wedding Clause,Debbie Raleigh,0821778250,9780821778258,eng,256,95,13,2005-06-07,Zebra,3.6
333,The Zebra Wall,Kevin Henkes,0060733039,9780060733032,eng,147,217,24,2005-02-15,Greenwillow Books,3.44
337,El perfume: Historia de un asesino,Patrick Süskind,8432216062,9788432216060,spa,239,4136,255,2002-06-01,Booket,4.02
348,The Door Into Summer,Robert A. Heinlein,0345413997,9780345413994,eng,304,17232,649,1997-06-17,Del Rey,4.01
350,Stranger in a Strange Land,Robert A. Heinlein,0441788386,9780441788385,eng,528,251872,6241,1991-10-01,Ace,3.92
354,To Sail Beyond the Sunset,Robert A. Heinlein,0441748600,9780441748600,en-US,434,10293,193,1988-06-01,Ace Books,3.87
355,Job: A Comedy of Justice,Robert A. Heinlein,0345316509,9780345316509,en-US,439,15970,438,1985-10-12,Del Rey,3.78
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,0765314932,9780765314932,eng,256,6898,200,2006-08-08,Tor Books,3.97
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,0671742515,9780671742515,en-US,307,67803,1401,1991-02-15,Pocket Books,4.06
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,0345455290,9780345455291,eng,298,22091,746,2005-04-26,Del Rey,3.93
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,0345476514,9780345476517,eng,368,2623,49,2005-12-27,Del Rey,4.14
367,Douglas Adams's Starship Titanic,Terry Jones,0345368436,9780345368430,eng,256,885,84,1998-10-27,Ballantine Books,3.6
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,1417622857,9781417622856,eng,336,5,0,2003-07-01,Turtleback Books,3.93
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,0573650969,9780573650963,eng,72,100,13,2011-01-12,Samuel French  Inc.,4.13
385,On Bullshit,Harry G. Frankfurt,0691122946,9780691122946,eng,67,9358,995,2005-01-30,Princeton University Press,3.57
386,Another Bullshit Night in Suck City,Nick Flynn,0393329402,9780393329407,eng,347,9318,907,2005-09-12,W. W. Norton & Company,3.78
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,0671867423,9780671867423,en-US,317,120,15,1993-06-12,Simon & Schuster,4.14
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,0395883970,9780395883976,eng,32,5239,76,1998-02-02,HMH Books for Young Readers,4.53
399,Underworld,Don DeLillo,0684848155,9780684848150,eng,827,1505,175,1998-07-09,Scribner,3.92
400,Libra,Don DeLillo,0140156046,9780140156041,eng,480,11857,564,1991-05-01,Penguin,3.99
403,Americana,Don DeLillo,0140119485,9780140119480,eng,377,393,55,1989-07-06,Penguin Books,3.43
404,Running Dog,Don DeLillo,0679722947,9780679722946,eng,256,1356,72,1989-07-17,Vintage Contemporaries,3.43
406,Cosmopolis,Don DeLillo,0743244257,9780743244251,eng,224,460,41,2004-04-06,Scribner,3.22
407,Great Jones Street,Don DeLillo,0140179178,9780140179170,eng,272,2492,145,1994-01-01,Penguin Books,3.48
408,The Names,Don DeLillo,0679722955,9780679722953,eng,339,3100,212,1989-07-17,Vintage,3.64
409,Against the Day,Thomas Pynchon,159420120X,9781594201202,eng,1085,5296,587,2006-11-21,Penguin Press,4.13
410,V.,Thomas Pynchon,0060930217,9780060930219,eng,547,1415,177,2005-07-05,Harper Perennial Modern Classics,3.96
411,The Crying of Lot 49,Thomas Pynchon,0060931671,9780060931674,eng,152,2161,230,1999-04-01,Harper Perennial,3.69
412,Gravity's Rainbow,Thomas Pynchon,0140283382,9780140283389,eng,784,762,213,2000-01-01,Penguin Books,4.01
413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,0312423209,9780312423209,eng,773,8086,602,2004-01-03,Picador USA,4.07
414,Vineland,Thomas Pynchon,0141180633,9780141180632,en-US,385,702,69,1997-09-01,Penguin Classics,3.69
415,Gravity's Rainbow,Thomas Pynchon,0143039946,9780143039945,eng,776,29764,2164,2006-10-31,Penguin Books,4.01
416,Slow Learner: Early Stories,Thomas Pynchon,0316724432,9780316724432,eng,193,334,34,1985-04-30,Back Bay Books,3.5
418,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,0140189300,9780140189308,eng,352,2473,220,1996-08-29,Penguin Classics,3.8
420,The Year of Magical Thinking,Joan Didion,140004314X,9781400043149,en-US,227,2656,336,2005-10-04,Knopf Publishing Group,3.89
421,The White Album,Joan Didion,0374522219,9780374522216,eng,222,11889,738,1990-10-01,Farrar Straus Giroux,4.17
422,A Book of Common Prayer,Joan Didion,0679754865,9780679754862,eng,272,2962,255,1995-04-11,Vintage International,3.8
423,Where I Was From,Joan Didion,0679752862,9780679752868,eng,240,2842,292,2004-09-14,Vintage,3.86
424,Slouching Towards Bethlehem,Joan Didion,0374521727,9780374521721,eng,238,26934,1825,1990-10-01,Farrar Straus Giroux,4.21
425,Democracy,Joan Didion,0679754857,9780679754855,en-US,234,2070,169,1995-04-25,Vintage International,3.81
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,0307264874,9780307264879,eng,1122,1564,108,2006-10-17,Everyman's Library,4.5
